交易所,品种代码,品种名称,交易单位,保证金比例
上期所,CU,铜,5,9
上期所,AL,铝,5,9
上期所,ZN,锌,5,9
上期所,PB,铅,5,9
上期所,SS,不锈钢,5,7
上期所,BU,石油沥青,10,11
上期所,HC,热扎卷板,10,7
上期所,RB,螺纹钢,10,7
上期所,AU,黄金,1000,14
上期所,RU,天然橡胶,10,10
上期所,BR,丁二烯橡胶,5,11
上期所,AG,白银,15,14
上期所,NI,镍,1,12
上期所,SN,锡,1,12
上期所,WR,线材,10,9
上期所,SP,漂针浆,10,8
上期所,AO,氧化铝,20,11
上期所,AD,铸造铝合金,10,9
上期所,FU,燃料油,10,11
能源中心,SC,原油,1000,11
能源中心,EC,欧线,50,20
能源中心,BC,阴极铜,5,9
能源中心,LU,低硫燃料油,10,11
能源中心,NR,20.0号胶,10,10
大商所,LH,生猪,16,8
大商所,B,二号豆,10,7
大商所,Y,豆油,10,7
大商所,P,棕榈油,10,8
大商所,A,一号豆,10,7
大商所,C,玉米,10,7
大商所,CS,玉米淀粉,10,6
大商所,RR,粳米,10,6
大商所,EB,苯乙烯,5,7
大商所,JM,焦煤,60,12
大商所,J,焦炭,100,20
大商所,I,铁矿石,100,11
大商所,M,豆粕,10,7
大商所,JD,鸡蛋,5,7
大商所,PG,液化石油气,20,7
大商所,EG,乙二醇,10,7
大商所,LG,原木,90,8
大商所,BZ,纯苯,30,8
大商所,FB,纤维板,10,10
大商所,BB,胶合板,500,15
大商所,V,聚氯乙烯,5,7
大商所,PP,聚丙烯,5,7
大商所,L,聚乙烯,5,7
广期所,SI,工业硅,5,8
广期所,LC,碳酸锂,1,10
广期所,PS,多晶硅,3,11
郑商所,PF,短纤,5,7
郑商所,PM,普麦,50,15
郑商所,WH,强麦,20,15
郑商所,RI,早籼稻,20,15
郑商所,LR,晚籼稻,20,15
郑商所,JR,粳稻,20,15
郑商所,OI,菜籽油,10,9
郑商所,SR,白糖,10,7
郑商所,FG,玻璃,20,10
郑商所,RS,油菜籽,10,20
郑商所,SF,硅铁,5,8
郑商所,SM,锰硅,5,9
郑商所,RM,菜粕,10,10
郑商所,TA,精对苯二甲酸,5,8
郑商所,ZC,动力煤,100,50
郑商所,CF,棉花,5,7
郑商所,CY,棉纱,5,5
郑商所,MA,甲醇,10,8
郑商所,AP,苹果,10,10
郑商所,UR,尿素,20,8
郑商所,PL,丙烯,20,8
郑商所,PK,花生,5,8
郑商所,SA,纯碱,20,9
郑商所,SH,烧碱,30,8
郑商所,PX,对二甲苯,5,9
郑商所,PR,瓶片,15,7
郑商所,CJ,红枣,5,9
中金所,TS,2.0年期国债,20000,0.5
中金所,TF,5.0年期国债,10000,1.2
中金所,T,10.0年期国债,10000,2
中金所,TL,30.0年国债,10000,3.5
中金所,IF,沪深300指数,300,12
中金所,IH,上证50指数,300,12
中金所,IC,中证500指数,200,12
中金所,IM,中证1000股指,200,12
中金所,IO,沪深300股指期权,100,12
中金所,HO,上证50股指期权,100,12
中金所,MO,中证1000股指期权,100,12

